Total itemsets found: 4897
Elapsed time: 5682ms
[64] - 514.22
[68] - 555.2199999999993
[47] - 561.5899999999999
[46] - 593.21
[7] - 625.9999999999998
[123] - 639.7499999999997
[88, 21] - 584.0994000000001
[79, 21] - 591.3639000000004
[94, 21] - 588.1841999999995
[36, 21] - 591.8744999999994
[90, 21] - 599.8233999999993
[55, 22] - 572.2591000000001
[22, 41] - 566.5232999999995
[22, 38] - 576.5353999999999
[22, 97] - 596.7493999999998
[22, 94] - 599.3989999999992
[22, 36] - 604.7612999999997
[22, 90] - 604.4610000000006
[44, 1] - 564.6075999999995
[44, 71] - 517.9348
[44, 67] - 555.5119000000002
[44, 41] - 534.1138999999995
[44, 97] - 622.6347999999987
[44, 94] - 594.5397999999996
[44, 36] - 588.9077
[44, 90] - 624.8185999999995
[2, 125] - 566.2590999999993
[24, 125] - 563.4760999999999
[125, 38] - 638.5596000000014
[125, 97] - 620.8170999999991
[125, 94] - 640.4320999999999
[36, 125] - 648.0973999999998
[125, 90] - 645.1415000000006
[23, 53] - 550.7477000000002
[104, 53] - 551.2951
[1, 53] - 552.5098000000002
[71, 53] - 534.4706000000004
[67, 53] - 578.7213999999998
[41, 53] - 567.4458999999995
[38, 53] - 580.6131000000005
[97, 53] - 531.5153000000004
[77, 90, 120] - 576.1019210000007
[77, 56, 38] - 601.0456059999992
[77, 56, 97] - 614.2725270000003
[77, 56, 94] - 610.7439650000002
[77, 56, 36] - 610.8782650000004
[77, 56, 90] - 612.9038899999996
[77, 24, 38] - 541.2058720000003
[77, 24, 97] - 550.5622119999997
[77, 24, 94] - 549.9958979999999
[77, 24, 36] - 543.7482900000007
[77, 24, 90] - 550.8193779999998
[77, 71] - 566.0339000000001
[77, 67] - 573.2201000000009
[77, 41] - 564.5714999999996
[77, 38, 94, 97] - 591.68114286
[77, 36, 38, 97] - 589.8854936699998
[77, 38, 90, 97] - 589.9664745300012
[77, 36, 38, 94] - 587.8879131399995
[77, 38, 90, 94] - 588.7542457600016
[77, 36, 38, 90] - 586.8449986400009
[77, 36, 94, 97] - 596.6859756600012
[77, 90, 94, 97] - 599.6527945199999
[77, 36, 90, 97] - 595.507959180001
[77, 36, 90, 94] - 595.4459683100004
[128, 86] - 568.553299999999
[11, 86] - 536.5615000000001
[57, 86] - 565.5346000000013
[24, 2, 86] - 555.116478
[2, 38, 86] - 546.8099369999986
[2, 97, 86] - 551.9989030000003
[2, 94, 86] - 550.6585939999984
[2, 36, 86] - 548.0937029999998
[2, 90, 86] - 549.4282970000002
[38, 86, 120] - 571.8618859999999
[97, 86, 120] - 574.920369999999
[94, 86, 120] - 578.010294
[36, 86, 120] - 574.524190000001
[90, 86, 120] - 577.4147299999998
[56, 38, 86] - 610.8558610000006
[56, 97, 86] - 615.5756410000001
[56, 94, 86] - 615.6087119999993
[56, 36, 86] - 615.5524069999998
[56, 90, 86] - 616.3917029999997
[24, 38, 86] - 553.1874009999996
[24, 97, 86] - 559.9204050000001
[24, 94, 86] - 559.1318879999997
[24, 36, 86] - 555.7467940000002
[24, 90, 86] - 557.1608079999993
[71, 86] - 567.4338999999998
[67, 86] - 572.8794999999998
[41, 86] - 566.4972999999995
[38, 94, 86, 97] - 595.7119132499995
[36, 38, 86, 97] - 593.8278520600012
[38, 90, 86, 97] - 594.3819393499997
[36, 38, 94, 86] - 595.2439914300006
[38, 90, 94, 86] - 596.4320255100016
[36, 38, 90, 86] - 595.7198249800001
[36, 94, 86, 97] - 597.3983049400011
[90, 94, 86, 97] - 599.4997566900008
[36, 90, 86, 97] - 597.6929554100004
[36, 90, 94, 86] - 599.1207778199996
[128, 107] - 538.5557000000002
[23, 104, 107] - 561.1959840000007
[23, 107, 71] - 521.7795180000004
[67, 23, 107] - 566.4999579999993
[23, 107, 41] - 513.7711339999992
[23, 38, 107] - 563.474175
[23, 107, 97] - 554.4038570000004
[23, 107, 94] - 561.0997730000003
[23, 36, 107] - 572.0952680000005
[23, 90, 107] - 564.9754879999995
[57, 107] - 539.9109000000003
[1, 107, 31] - 592.073941
[56, 107, 31] - 577.8085810000003
[107, 41, 31] - 586.306443
[107, 97, 31] - 596.9384379999996
[107, 94, 31] - 601.4288829999995
[36, 107, 31] - 605.2189810000001
[90, 107, 31] - 601.4563819999998
[5, 107] - 591.5896999999997
[1, 104, 107] - 522.4135220000005
[104, 107, 71] - 581.216703000001
[67, 104, 107] - 628.250263
[104, 107, 41] - 511.3261990000007
[38, 104, 107] - 602.6104859999987
[104, 107, 97] - 618.0601719999989
[104, 107, 94] - 618.5662090000004
[36, 104, 107] - 634.6140199999992
[104, 90, 107] - 628.2709239999997
[56, 1, 107] - 570.7486099999996
[1, 107, 71] - 593.4351790000005
[67, 1, 107] - 631.681901
[1, 107, 41, 97] - 539.6596668000005
[1, 107, 94, 41] - 542.3711010300011
[1, 36, 107, 41] - 549.6528905299999
[1, 90, 107, 41] - 544.2762703499997
[1, 38, 107] - 524.2232770000002
[1, 107, 94, 97] - 548.3082688299996
[1, 36, 107, 97] - 556.9795558899998
[1, 90, 107, 97] - 551.7951133699993
[1, 36, 107, 94] - 559.7690976300004
[1, 90, 107, 94] - 553.221215670001
[1, 36, 90, 107] - 562.0939994100003
[88, 79, 107] - 521.802592000001
[88, 107, 97] - 598.8940739999998
[88, 107, 94] - 595.2778629999997
[88, 36, 107] - 604.4256219999996
[88, 90, 107] - 597.0776260000001
[79, 107, 97] - 596.8896339999995
[79, 107, 94] - 596.5201020000003
[79, 36, 107] - 602.5381089999998
[79, 90, 107] - 599.0475799999999
[56, 107, 41] - 584.4984309999994
[56, 107, 97] - 575.5589709999998
[56, 107, 94] - 579.1839590000001
[56, 36, 107] - 584.0817570000005
[56, 90, 107] - 577.8139840000005
[67, 107, 71] - 639.9785410000003
[107, 71, 41] - 583.393423
[38, 107, 71] - 562.5660439999991
[107, 71, 94, 97] - 510.8184398799994
[36, 107, 71, 97] - 522.6701764199996
[90, 107, 71, 97] - 519.2442658899996
[36, 107, 71, 94] - 522.4685773999998
[90, 107, 71, 94] - 517.3915922300004
[36, 90, 107, 71] - 529.44357032
[67, 107, 41] - 624.0764660000004
[67, 38, 107] - 605.9790599999999
[67, 107, 94, 97] - 542.4893625599987
[67, 36, 107, 97] - 552.2255948800001
[67, 90, 107, 97] - 550.5479711900003
[67, 36, 107, 94] - 552.4443604299997
[67, 90, 107, 94] - 549.1127884800017
[67, 36, 90, 107] - 559.4011936699998
[38, 107, 41] - 513.7209319999998
[107, 94, 41, 97] - 544.6141197999991
[36, 107, 41, 97] - 551.3145896800005
[90, 107, 41, 97] - 546.0915121699995
[36, 107, 94, 41] - 554.7323514699995
[90, 107, 94, 41] - 548.4931672199992
[36, 90, 107, 41] - 554.6838855699983
[38, 107, 97] - 596.5282130000004
[38, 107, 94] - 598.3287940000006
[36, 38, 107] - 613.2240069999995
[38, 90, 107] - 605.6677589999995
[36, 107, 94, 97] - 631.7549341799996
[90, 107, 94, 97] - 625.9329606799994
[36, 90, 107, 97] - 636.9442925700007
[36, 90, 107, 94] - 635.5789563199992
[122, 16] - 519.4537999999993
[16, 9] - 571.5664000000002
[16, 6] - 526.7036999999997
[55, 16] - 510.1056999999994
[57, 16, 41] - 568.7415260000006
[57, 38, 16] - 579.9363030000004
[57, 16, 97] - 591.3367080000005
[57, 16, 94] - 593.5679750000006
[57, 36, 16] - 591.8637470000001
[57, 16, 90] - 590.2543680000002
[1, 16, 31] - 542.5016109999997
[16, 41, 31] - 533.689631
[16, 94, 31] - 545.9124680000008
[36, 16, 31] - 549.409854000001
[16, 90, 31] - 540.6056270000003
[5, 16] - 594.5690000000004
[104, 16] - 526.7429000000003
[1, 16, 41] - 524.4556269999999
[1, 16, 94] - 536.9651960000001
[1, 36, 16] - 542.4263870000003
[1, 16, 90] - 532.7635719999994
[88, 16] - 603.3181999999998
[79, 16] - 602.7387999999996
[56, 16, 41] - 507.75535999999994
[24, 16, 41] - 544.6210340000009
[24, 16, 97] - 540.0519100000002
[24, 16, 94] - 596.4083610000005
[24, 36, 16] - 597.5100399999997
[24, 16, 90] - 591.6662630000005
[16, 71] - 600.9121999999986
[67, 16] - 601.7267999999997
[38, 16, 41] - 564.4968450000002
[16, 94, 41, 97] - 585.9368964700006
[36, 16, 41, 97] - 584.7912101599993
[16, 90, 41, 97] - 577.9531322500001
[36, 16, 94, 41] - 628.4962765600009
[16, 90, 94, 41] - 621.881461549999
[36, 16, 90, 41] - 621.4386245599981
[16, 38, 97] - 591.9549889999995
[16, 38, 94] - 594.3323159999999
[36, 16, 38] - 593.7981699999998
[16, 38, 90] - 589.8046999999996
[36, 16, 94, 97] - 618.85956122
[16, 90, 94, 97] - 613.2755643199989
[36, 16, 90, 97] - 613.7003644
[36, 16, 90, 94] - 656.314991259999
[128, 108] - 574.172600000001
[23, 104, 108] - 586.2542100000002
[1, 23, 108] - 532.6065290000009
[23, 108, 71] - 549.8742520000009
[67, 23, 108] - 584.65429
[23, 108, 41] - 510.21465900000004
[23, 38, 108] - 562.5613179999995
[23, 108, 97] - 584.5850460000001
[23, 108, 94] - 583.6008240000001
[23, 36, 108] - 586.6065769999994
[23, 90, 108] - 585.8200889999991
[57, 108] - 570.3363000000004
[1, 108, 31] - 625.8039660000004
[56, 108, 31] - 582.1653910000008
[108, 71, 31] - 523.8101120000009
[67, 108, 31] - 518.401927
[108, 41, 31] - 601.6378330000005
[108, 97, 31] - 627.6022609999999
[108, 94, 31] - 606.3137100000013
[36, 108, 31] - 603.0394909999995
[90, 108, 31] - 620.1531900000002
[5, 108] - 610.909200000001
[1, 104, 108] - 575.6282299999997
[104, 108, 71] - 632.3559270000013
[67, 104, 108, 97] - 507.5285993299999
[67, 104, 90, 108] - 507.1415725100001
[104, 108, 41] - 535.1099450000005
[38, 104, 108] - 630.9916070000005
[104, 90, 108, 97] - 505.9541256799996
[104, 108, 94] - 650.0850220000004
[36, 104, 108] - 653.6933720000003
[88, 1, 108] - 544.8032439999993
[1, 79, 108] - 534.9845100000003
[56, 1, 108] - 604.8002769999995
[1, 108, 71] - 649.7345079999999
[1, 67, 108, 97] - 516.0370497699998
[1, 67, 90, 108] - 514.8495445899995
[1, 108, 41, 97] - 563.9856199499999
[1, 108, 94, 41] - 548.0961203300009
[1, 36, 108, 41] - 547.3843307600004
[1, 90, 108, 41] - 559.2688720000007
[1, 38, 108] - 551.5290119999993
[1, 108, 94, 97] - 584.7327944999998
[1, 36, 108, 97] - 583.3292240700005
[1, 90, 108, 97] - 596.1383216200006
[1, 36, 108, 94] - 583.7049466999997
[1, 90, 108, 94] - 583.0706825700008
[1, 36, 90, 108] - 581.4496838999996
[88, 79, 108] - 548.6651340000001
[88, 67, 108] - 522.5828119999998
[88, 108, 97] - 632.2873319999994
[88, 108, 94] - 631.4851580000012
[88, 36, 108] - 632.8948969999994
[88, 90, 108] - 632.6098889999996
[67, 79, 108] - 515.1742540000002
[79, 108, 97] - 623.5421959999994
[79, 108, 94] - 625.5282619999997
[79, 36, 108] - 623.6841269999999
[79, 90, 108] - 626.6692139999999
[56, 108, 41] - 578.0978350000003
[56, 108, 97] - 603.5119890000004
[56, 108, 94] - 603.1815079999991
[56, 36, 108] - 599.9202429999997
[56, 90, 108] - 598.8716439999998
[67, 108, 71, 97] - 516.8318735299998
[67, 36, 108, 71] - 504.99471834999935
[67, 90, 108, 71] - 515.94873238
[108, 71, 41] - 606.3214770000002
[38, 108, 71] - 590.377371000001
[108, 71, 94, 97] - 541.6583199699999
[36, 108, 71, 97] - 543.1215650099982
[90, 108, 71, 97] - 554.9019888700009
[36, 108, 71, 94] - 543.001908399999
[90, 108, 71, 94] - 540.16719853
[36, 90, 108, 71] - 543.1951430200003
[67, 108, 41] - 641.8418079999993
[67, 38, 108] - 633.2496779999996
[67, 108, 94, 97] - 569.8582416499997
[67, 36, 108, 97] - 571.9285677399998
[67, 90, 108, 97] - 585.2868853999995
[67, 36, 108, 94] - 570.5714781999993
[67, 90, 108, 94] - 570.1782600899991
[67, 36, 90, 108] - 572.8637228499988
[38, 108, 41] - 532.1929920000003
[108, 94, 41, 97] - 547.06496937
[36, 108, 41, 97] - 545.1397285399997
[90, 108, 41, 97] - 559.1758676500001
[36, 108, 94, 41] - 544.8017776700004
[90, 108, 94, 41] - 545.0708419100001
[36, 90, 108, 41] - 543.2131213399998
[38, 108, 97] - 629.8366230000001
[38, 108, 94] - 606.7452879999996
[36, 38, 108] - 611.3268039999991
[38, 90, 108] - 627.449798
[36, 108, 94, 97] - 652.1729107999992
[90, 108, 94, 97] - 652.0749150299994
[36, 90, 108, 97] - 651.9006687200007
[36, 90, 108, 94] - 651.3786877199997
[66, 29, 70] - 608.055383999999
[55, 29, 70] - 545.4707829999998
[57, 29, 70] - 546.8477129999997
[2, 29, 70] - 670.0923189999999
[24, 29, 70] - 666.0307800000002
[29, 70, 41] - 542.9586569999996
[38, 29, 70] - 668.1621959999995
[29, 70, 97] - 668.7079140000006
[29, 70, 94] - 671.412977
[36, 29, 70] - 667.9391620000014
[90, 29, 70] - 669.0484130000004
[55, 66, 29] - 546.4865529999996
[66, 57, 29] - 549.265807
[66, 2, 38, 29] - 506.2102932000002
[66, 2, 29, 94] - 505.05909281999993
[66, 2, 90, 29] - 505.4582859899996
[66, 24, 29] - 667.3673479999995
[66, 29, 41] - 544.1110870000006
[66, 29, 97] - 669.8427259999995
[66, 36, 29] - 666.933493
[11, 29] - 521.4293000000002
[6, 29] - 558.4714000000001
[55, 57, 29] - 544.0912140000002
[55, 2, 29] - 546.0125189999987
[55, 24, 29] - 540.0730599999998
[55, 29, 41] - 539.027161
[55, 38, 29] - 543.4964769999992
[55, 29, 97] - 541.2249300000002
[55, 29, 94] - 543.7863180000007
[55, 36, 29] - 543.3488819999995
[55, 90, 29] - 545.0155599999985
[57, 2, 38, 29] - 505.1340162200001
[57, 2, 90, 29] - 505.0147572999999
[24, 57, 29] - 544.2360639999999
[57, 29, 41] - 661.8738410000018
[57, 29, 97] - 663.172988999999
[57, 29, 94] - 669.4391360000004
[57, 36, 29] - 665.2926000000001
[5, 29] - 551.8633000000008
[2, 29, 120] - 574.0817609999993
[2, 24, 38, 29] - 589.2231610199996
[2, 24, 29, 97] - 591.2688873499977
[2, 24, 29, 94] - 591.9640336600003
[2, 24, 36, 29] - 588.2048628800004
[2, 24, 90, 29] - 591.1757420599994
[2, 29, 41] - 666.3562110000001
[2, 38, 29, 94, 97] - 512.2996850600003
[2, 36, 38, 29, 97] - 508.3086026421993
[2, 38, 90, 29, 97] - 510.3212567095999
[2, 36, 38, 29, 94] - 511.3536606096993
[2, 38, 90, 29, 94] - 513.7496787945003
[2, 36, 38, 90, 29] - 510.0614636765012
[2, 36, 29, 94, 97] - 510.934657163699
[2, 90, 29, 94, 97] - 514.1116595706994
[2, 36, 90, 29, 97] - 510.63599759270056
[2, 36, 90, 29, 94] - 512.7572850852
[24, 29, 120] - 513.0889610000004
[38, 29, 120] - 568.4300499999996
[29, 97, 120] - 575.9673800000004
[29, 94, 120] - 578.1269389999999
[36, 29, 120] - 570.2854300000008
[90, 29, 120] - 574.7266379999995
[24, 29, 41] - 539.652188000001
[24, 38, 29, 97] - 586.6830655499995
[24, 38, 29, 94] - 587.86974864
[24, 36, 38, 29] - 584.1881820700004
[24, 38, 90, 29] - 585.9304422100003
[24, 29, 94, 97] - 591.4755096400005
[24, 36, 29, 97] - 587.6290628299988
[24, 90, 29, 97] - 590.2679116700001
[24, 36, 29, 94] - 587.4464172899999
[24, 90, 29, 94] - 590.385005189999
[24, 36, 90, 29] - 587.6087772000016
[38, 29, 41] - 663.1835809999994
[29, 41, 97] - 657.4826829999997
[29, 94, 41] - 664.1387409999999
[36, 29, 41] - 660.2574660000016
[90, 29, 41] - 664.8181770000006
[36, 38, 29, 94, 97] - 507.8796192777
[38, 90, 29, 94, 97] - 509.9640471223992
[36, 38, 90, 29, 97] - 506.3915706342995
[36, 38, 90, 29, 94] - 509.0119671367005
[36, 90, 29, 94, 97] - 510.28993195489943
[13, 114] - 565.1326000000003
[13, 63] - 618.4945999999994
[13, 42] - 605.6385999999994
[100, 13, 94] - 516.6632739999998
[100, 13, 36] - 516.4744250000005
[100, 13, 90] - 511.2661760000008
[13, 128] - 506.2724999999993
[11, 13] - 545.4794999999997
[13, 6] - 522.0339999999999
[13, 31] - 667.8745999999996
[13, 5] - 519.2768999999997
[2, 13] - 572.6640000000002
[13, 104] - 600.0833999999999
[13, 38, 120] - 563.7219099999992
[13, 97, 120] - 583.2875330000006
[13, 94, 120] - 547.4488559999993
[13, 36, 120] - 545.751337
[13, 90, 120] - 578.8170979999996
[1, 13, 97] - 505.5450330000006
[1, 13, 90] - 532.0424760000004
[88, 13] - 661.7199999999995
[13, 79, 94] - 518.8190059999997
[13, 79, 36] - 516.6828259999996
[13, 79, 90] - 509.8815019999999
[56, 13, 38] - 601.1720759999989
[56, 13, 94, 97] - 531.2624486500004
[56, 13, 36, 97] - 533.5155179800004
[56, 13, 90, 97] - 526.7167939999998
[56, 13, 36, 94] - 535.0750158599988
[56, 13, 90, 94] - 529.4287442999998
[56, 13, 36, 90] - 530.8044093800003
[13, 24, 97] - 593.827875000001
[13, 24, 94] - 529.5276279999995
[13, 24, 36] - 522.4387140000002
[13, 24, 90] - 604.9827989999995
[67, 13, 71] - 545.2728269999998
[13, 38, 71] - 600.2373619999984
[13, 71, 97] - 635.6769119999998
[13, 71, 94] - 579.4857409999986
[13, 36, 71] - 581.7186999999998
[13, 90, 71] - 656.1570790000007
[67, 13, 38] - 645.3068420000005
[67, 13, 90, 97] - 505.9965210600009
[67, 13, 94] - 626.3818479999998
[67, 13, 36] - 625.332311000001
[13, 41] - 678.2309999999997
[13, 38, 94, 97] - 538.20540487
[13, 36, 38, 97] - 541.1098753999992
[13, 38, 90, 97] - 594.3751249100006
[13, 36, 38, 94] - 569.48545166
[13, 38, 90, 94] - 566.779651410001
[13, 36, 38, 90] - 565.7686063199993
[13, 36, 94, 97] - 635.9484492699997
[13, 90, 94, 97] - 628.56579867
[13, 36, 90, 97] - 628.9775964400001
[13, 36, 90, 94] - 659.2164185100008
[55, 66, 70] - 577.9770450000002
[66, 57, 70] - 548.8997790000001
[66, 24, 2, 70] - 554.0858171199999
[66, 2, 38, 70] - 551.1502683799996
[66, 2, 70, 97] - 550.3918284000001
[66, 2, 70, 94] - 551.7849868899998
[66, 2, 36, 70] - 550.0674191899992
[66, 2, 90, 70] - 549.1101708999994
[66, 24, 38, 70] - 552.5845405399999
[66, 24, 70, 97] - 552.4862917900003
[66, 24, 70, 94] - 575.8036148400012
[66, 24, 36, 70] - 575.15809351
[66, 24, 90, 70] - 575.03686665
[66, 70, 41] - 574.2172990000008
[66, 38, 70, 97] - 548.9313794200009
[66, 38, 70, 94] - 551.4104098700002
[66, 36, 38, 70] - 549.2793257199996
[66, 38, 90, 70] - 548.0051291800003
[66, 70, 94, 97] - 550.9197824500003
[66, 36, 70, 97] - 548.8874748800002
[66, 90, 70, 97] - 548.4064639300008
[66, 36, 70, 94] - 572.802159929999
[66, 90, 70, 94] - 572.5962836799994
[66, 36, 90, 70] - 572.167740110001
[114, 70] - 565.4848000000002
[70, 63] - 566.7682
[11, 70] - 604.9049999999996
[6, 70] - 530.1041999999999
[55, 57, 70] - 546.0656360000002
[55, 2, 70] - 548.4096000000003
[55, 24, 70] - 604.7366850000014
[55, 70, 41] - 603.4292790000006
[55, 38, 70] - 546.0765330000002
[55, 70, 97] - 544.1723929999998
[55, 70, 94] - 607.8627549999993
[55, 36, 70] - 607.3962070000002
[55, 90, 70] - 608.5864709999994
[2, 57, 70] - 548.890557999999
[24, 57, 70] - 545.6909599999999
[57, 70, 41] - 543.9390640000004
[57, 38, 70] - 547.3231859999995
[57, 70, 97] - 544.6466240000001
[57, 70, 94] - 549.0428159999991
[57, 36, 70] - 545.3471740000001
[57, 90, 70] - 547.0410099999998
[5, 70] - 554.7595000000002
[2, 70, 120] - 630.697344000001
[2, 24, 38, 70, 97] - 513.5733185417002
[2, 24, 38, 70, 94] - 514.5891343200994
[2, 24, 36, 38, 70] - 513.8773637915008
[2, 24, 38, 90, 70] - 510.2208443079008
[2, 24, 70, 94, 97] - 516.6059156779005
[2, 24, 36, 70, 97] - 515.5877589320002
[2, 24, 90, 70, 97] - 513.5187883644004
[2, 24, 36, 70, 94] - 516.3777387235002
[2, 24, 90, 70, 94] - 514.0567756958004
[2, 24, 36, 90, 70] - 513.1947737802997
[2, 70, 41] - 546.0398280000004
[2, 38, 70, 94, 97] - 512.6197996156994
[2, 36, 38, 70, 97] - 511.8058778360002
[2, 38, 90, 70, 97] - 508.15484967660063
[2, 36, 38, 70, 94] - 513.0480663317002
[2, 38, 90, 70, 94] - 509.7044769870003
[2, 36, 38, 90, 70] - 508.8427432235001
[2, 36, 70, 94, 97] - 514.2287497332987
[2, 90, 70, 94, 97] - 512.3767236495994
[2, 36, 90, 70, 97] - 511.08492242879976
[2, 36, 90, 70, 94] - 512.163530789101
[24, 70, 120] - 633.070531
[38, 70, 120] - 625.1491250000007
[70, 97, 120] - 632.4822420000005
[70, 94, 120] - 635.0665909999992
[36, 70, 120] - 629.4402159999993
[90, 70, 120] - 626.8299850000002
[24, 70, 41] - 604.0665730000007
[24, 38, 70, 94, 97] - 512.3595581458006
[24, 36, 38, 70, 97] - 510.6538743072005
[24, 38, 90, 70, 97] - 507.51260562479996
[24, 36, 38, 70, 94] - 511.95657765449965
[24, 38, 90, 70, 94] - 509.06447879239886
[24, 36, 38, 90, 70] - 507.44380265709987
[24, 36, 70, 94, 97] - 514.1063992120996
[24, 90, 70, 94, 97] - 512.5911964841008
[24, 36, 90, 70, 97] - 510.56706827139976
[24, 36, 90, 70, 94] - 547.165262839
[38, 70, 41] - 543.5793059999994
[70, 41, 97] - 540.2796280000005
[70, 94, 41] - 606.2000399999996
[36, 70, 41] - 603.4471570000013
[90, 70, 41] - 606.0693109999999
[36, 38, 70, 94, 97] - 510.76645967300004
[38, 90, 70, 94, 97] - 507.7785742269001
[36, 38, 90, 70, 97] - 505.97750487079963
[36, 38, 90, 70, 94] - 507.63202647389977
[36, 90, 70, 94, 97] - 510.28567873800074
[12, 122] - 559.5116000000002
[100, 122] - 571.0993999999996
[122, 6] - 525.6557999999992
[55, 122, 94] - 521.9228299999995
[55, 122, 36] - 523.0677159999999
[55, 122, 90] - 524.4698089999999
[1, 122, 31] - 553.9102700000003
[88, 122, 31] - 572.098063
[122, 79, 31] - 569.4378900000006
[122, 24, 31] - 558.9985390000003
[122, 41, 31] - 562.5728929999991
[122, 94, 31] - 566.6028639999992
[122, 36, 31] - 565.3199299999998
[122, 90, 31] - 565.7878050000005
[122, 5] - 643.664099999999
[122, 104] - 530.7453
[88, 122, 1, 79] - 526.4622305299999
[88, 122, 1, 41] - 522.17325273
[88, 122, 1, 94] - 525.9591491299998
[88, 122, 1, 36] - 525.5564513499994
[88, 122, 1, 90] - 523.8953594100009
[122, 1, 79, 41] - 518.69642834
[122, 1, 79, 94] - 524.76175904
[122, 1, 79, 36] - 522.60443563
[122, 1, 79, 90] - 521.3306389599999
[122, 1, 24] - 555.4581529999996
[122, 1, 94, 41] - 518.2115606099991
[122, 1, 36, 41] - 517.42626409
[122, 1, 90, 41] - 516.3995160599994
[122, 1, 97] - 574.3585349999994
[122, 1, 36, 94] - 521.4920608800003
[122, 1, 90, 94] - 520.4440621900003
[122, 1, 36, 90] - 519.4578073899997
[88, 122, 79, 41] - 578.0179306899998
[88, 122, 79, 97] - 517.5108194300002
[88, 122, 79, 94] - 624.0538456599998
[88, 122, 79, 36] - 623.4840707599983
[88, 122, 79, 90] - 621.7699412400002
[88, 122, 24] - 557.4207740000007
[88, 67, 122] - 526.2630230000007
[88, 122, 94, 41] - 576.0053403899991
[88, 122, 36, 41] - 576.4065433100001
[88, 122, 90, 41] - 575.585262909999
[88, 122, 94, 97] - 517.7188175299999
[88, 122, 36, 97] - 517.6141514200004
[88, 122, 90, 97] - 513.5647589599989
[88, 122, 36, 94] - 619.5602990199993
[88, 122, 90, 94] - 617.9323374799997
[88, 122, 36, 90] - 619.2177810000009
[122, 24, 79] - 555.934103
[67, 122, 79] - 523.3913170000001
[122, 79, 94, 41] - 575.2970066600004
[122, 79, 36, 41] - 573.6011327499991
[122, 79, 90, 41] - 572.5602188400009
[122, 79, 94, 97] - 517.4854472600002
[122, 79, 36, 97] - 514.7686394600003
[122, 79, 90, 97] - 511.38744019999973
[122, 79, 36, 94] - 620.3286925900004
[122, 79, 90, 94] - 619.30050189
[122, 79, 36, 90] - 617.8839400700003
[56, 122] - 650.2908
[122, 24, 94, 41] - 548.7626431799997
[122, 24, 36, 41] - 543.1268163299995
[122, 24, 90, 41] - 545.6635130100005
[122, 24, 97] - 616.5922100000009
[122, 24, 36, 94] - 549.9968495500009
[122, 24, 90, 94] - 551.9007716100004
[122, 24, 36, 90] - 545.3233202599996
[122, 71] - 643.6054999999998
[122, 67, 94] - 520.6410919999998
[122, 67, 36] - 521.680450999999
[122, 67, 90] - 525.1374020000003
[122, 94, 41, 97] - 608.3899301400011
[122, 36, 41, 97] - 602.0130994799995
[122, 90, 41, 97] - 600.9425861899999
[122, 36, 90, 94, 41] - 527.2797864436008
[122, 38] - 613.3859999999994
[122, 36, 94, 97] - 654.2201518100014
[122, 90, 94, 97] - 651.5396466499986
[122, 36, 90, 97] - 646.0580117700008
[66, 114] - 611.0472999999998
[66, 63] - 594.0089
[66, 42] - 506.2812000000006
[66, 100] - 504.97199999999987
[11, 66] - 649.640299999999
[66, 6] - 546.9272000000002
[66, 55, 57] - 548.2911590000001
[66, 55, 2] - 582.8467810000008
[66, 55, 24] - 640.8520050000002
[66, 55, 41] - 620.9485759999994
[66, 55, 38] - 582.5445230000006
[66, 55, 97] - 559.5768210000003
[66, 55, 94] - 642.611831999999
[66, 55, 36] - 631.3124439999998
[66, 55, 90] - 643.6239360000019
[66, 2, 57] - 550.9535659999996
[66, 24, 57] - 549.1277889999998
[66, 57, 41] - 546.2209039999995
[66, 57, 38] - 551.1874840000003
[66, 57, 97] - 547.5649509999992
[66, 57, 94] - 550.2521420000004
[66, 57, 36] - 547.6251299999997
[66, 57, 90] - 550.5255259999997
[66, 5] - 568.0897000000002
[66, 2, 120] - 654.8870290000002
[66, 2, 24, 38, 97] - 526.7616939893013
[66, 2, 24, 38, 94] - 539.8465714587002
[66, 2, 24, 36, 38] - 532.4308626691006
[66, 2, 24, 38, 90] - 538.0834908248997
[66, 2, 24, 94, 97] - 527.1425209516001
[66, 2, 24, 36, 97] - 526.1145761438005
[66, 2, 24, 90, 97] - 525.5593571399002
[66, 2, 24, 36, 94] - 532.6977453434004
[66, 2, 24, 90, 94] - 538.7471346168012
[66, 2, 24, 36, 90] - 531.580280031401
[66, 2, 41] - 567.4091810000007
[66, 2, 38, 94, 97] - 526.6035401576005
[66, 2, 36, 38, 97] - 525.2821637770002
[66, 2, 38, 90, 97] - 524.1643616624999
[66, 2, 36, 38, 94] - 532.3702443114003
[66, 2, 38, 90, 94] - 537.6696232972995
[66, 2, 36, 38, 90] - 530.4499958971996
[66, 2, 36, 94, 97] - 525.4938621985001
[66, 2, 90, 94, 97] - 524.7829412348005
[66, 2, 36, 90, 97] - 523.4104000701994
[66, 2, 36, 90, 94] - 530.6387641416991
[66, 24, 120] - 656.9611199999993
[66, 38, 120] - 654.2601279999996
[66, 97, 120] - 658.0746790000001
[66, 94, 120] - 660.5344430000001
[66, 36, 120] - 655.2659400000002
[66, 90, 120] - 655.6768410000004
[66, 24, 41] - 624.0247589999988
[66, 24, 38, 94, 97] - 526.3908972921007
[66, 24, 36, 38, 97] - 524.9166418352995
[66, 24, 38, 90, 97] - 524.4213018358001
